MemoryType;BlockSize;ElementType;BufferSize;LaunchNum;Timer;WriteTime(s);AverageWriteTime(s);WriteBandwidth(Mb/s);AbsError(write)(s);RelError(write)(%);ReadTime(s);AverageReadTime(s);ReadBandwidth(Mb/s);AbsError(read)(s);RelError(read)(%)
FLASH;33554432;int;4;2;chrono::high_resolution_clock;16,732174;17,308272;0,236650;17,308236;99,999792%;0,133518;0,141179;29,012834;0,141143;99,974500%
FLASH;33554432;int;4;3;chrono::high_resolution_clock;17,343851;17,308272;0,236650;17,308236;99,999792%;0,141769;0,141179;29,012834;0,141143;99,974500%
FLASH;33554432;int;4;4;chrono::high_resolution_clock;17,285044;17,308272;0,236650;17,308236;99,999792%;0,139023;0,141179;29,012834;0,141143;99,974500%
FLASH;33554432;int;4;5;chrono::high_resolution_clock;17,654178;17,308272;0,236650;17,308236;99,999792%;0,143750;0,141179;29,012834;0,141143;99,974500%
FLASH;33554432;int;4;6;chrono::high_resolution_clock;17,604369;17,308272;0,236650;17,308236;99,999792%;0,148908;0,141179;29,012834;0,141143;99,974500%
FLASH;33554432;int;4;7;chrono::high_resolution_clock;17,618669;17,308272;0,236650;17,308236;99,999792%;0,133968;0,141179;29,012834;0,141143;99,974500%
FLASH;33554432;int;4;8;chrono::high_resolution_clock;17,257057;17,308272;0,236650;17,308236;99,999792%;0,159808;0,141179;29,012834;0,141143;99,974500%
FLASH;33554432;int;4;9;chrono::high_resolution_clock;17,458225;17,308272;0,236650;17,308236;99,999792%;0,136188;0,141179;29,012834;0,141143;99,974500%
FLASH;33554432;int;4;10;chrono::high_resolution_clock;17,395123;17,308272;0,236650;17,308236;99,999792%;0,134810;0,141179;29,012834;0,141143;99,974500%
FLASH;37748736;int;4;1;chrono::high_resolution_clock;19,796720;19,738042;0,233458;19,738006;99,999818%;0,156057;0,153317;30,055389;0,153281;99,976519%
FLASH;37748736;int;4;2;chrono::high_resolution_clock;19,002091;19,738042;0,233458;19,738006;99,999818%;0,163592;0,153317;30,055389;0,153281;99,976519%
FLASH;37748736;int;4;3;chrono::high_resolution_clock;18,783017;19,738042;0,233458;19,738006;99,999818%;0,154774;0,153317;30,055389;0,153281;99,976519%
FLASH;37748736;int;4;4;chrono::high_resolution_clock;19,156841;19,738042;0,233458;19,738006;99,999818%;0,149751;0,153317;30,055389;0,153281;99,976519%
FLASH;37748736;int;4;5;chrono::high_resolution_clock;19,836122;19,738042;0,233458;19,738006;99,999818%;0,149765;0,153317;30,055389;0,153281;99,976519%
FLASH;37748736;int;4;6;chrono::high_resolution_clock;19,522441;19,738042;0,233458;19,738006;99,999818%;0,152323;0,153317;30,055389;0,153281;99,976519%
FLASH;37748736;int;4;7;chrono::high_resolution_clock;20,465283;19,738042;0,233458;19,738006;99,999818%;0,152858;0,153317;30,055389;0,153281;99,976519%
FLASH;37748736;int;4;8;chrono::high_resolution_clock;19,920342;19,738042;0,233458;19,738006;99,999818%;0,149211;0,153317;30,055389;0,153281;99,976519%
FLASH;37748736;int;4;9;chrono::high_resolution_clock;20,225973;19,738042;0,233458;19,738006;99,999818%;0,156174;0,153317;30,055389;0,153281;99,976519%
FLASH;37748736;int;4;10;chrono::high_resolution_clock;20,671585;19,738042;0,233458;19,738006;99,999818%;0,148664;0,153317;30,055389;0,153281;99,976519%
FLASH;41943040;int;4;1;chrono::high_resolution_clock;22,540898;21,538477;0,237714;21,538441;99,999833%;0,172796;0,169372;30,229260;0,169336;99,978745%
FLASH;41943040;int;4;2;chrono::high_resolution_clock;21,985182;21,538477;0,237714;21,538441;99,999833%;0,173693;0,169372;30,229260;0,169336;99,978745%
FLASH;41943040;int;4;3;chrono::high_resolution_clock;22,047131;21,538477;0,237714;21,538441;99,999833%;0,169368;0,169372;30,229260;0,169336;99,978745%
FLASH;41943040;int;4;4;chrono::high_resolution_clock;21,564161;21,538477;0,237714;21,538441;99,999833%;0,169480;0,169372;30,229260;0,169336;99,978745%
FLASH;41943040;int;4;5;chrono::high_resolution_clock;22,100588;21,538477;0,237714;21,538441;99,999833%;0,166258;0,169372;30,229260;0,169336;99,978745%
FLASH;41943040;int;4;6;chrono::high_resolution_clock;20,549240;21,538477;0,237714;21,538441;99,999833%;0,172079;0,169372;30,229260;0,169336;99,978745%
FLASH;41943040;int;4;7;chrono::high_resolution_clock;21,430946;21,538477;0,237714;21,538441;99,999833%;0,169876;0,169372;30,229260;0,169336;99,978745%
FLASH;41943040;int;4;8;chrono::high_resolution_clock;21,888015;21,538477;0,237714;21,538441;99,999833%;0,165027;0,169372;30,229260;0,169336;99,978745%
FLASH;41943040;int;4;9;chrono::high_resolution_clock;20,905904;21,538477;0,237714;21,538441;99,999833%;0,166384;0,169372;30,229260;0,169336;99,978745%
FLASH;41943040;int;4;10;chrono::high_resolution_clock;20,372701;21,538477;0,237714;21,538441;99,999833%;0,168763;0,169372;30,229260;0,169336;99,978745%
FLASH;46137344;int;4;1;chrono::high_resolution_clock;21,671172;23,220896;0,242540;23,220860;99,999845%;0,192075;0,192487;29,259189;0,192451;99,981297%
FLASH;46137344;int;4;2;chrono::high_resolution_clock;24,617573;23,220896;0,242540;23,220860;99,999845%;0,188029;0,192487;29,259189;0,192451;99,981297%
FLASH;46137344;int;4;3;chrono::high_resolution_clock;23,419269;23,220896;0,242540;23,220860;99,999845%;0,195148;0,192487;29,259189;0,192451;99,981297%
FLASH;46137344;int;4;4;chrono::high_resolution_clock;23,408313;23,220896;0,242540;23,220860;99,999845%;0,191199;0,192487;29,259189;0,192451;99,981297%
FLASH;46137344;int;4;5;chrono::high_resolution_clock;23,323417;23,220896;0,242540;23,220860;99,999845%;0,186029;0,192487;29,259189;0,192451;99,981297%
FLASH;46137344;int;4;6;chrono::high_resolution_clock;23,190103;23,220896;0,242540;23,220860;99,999845%;0,185778;0,192487;29,259189;0,192451;99,981297%
FLASH;46137344;int;4;7;chrono::high_resolution_clock;23,025302;23,220896;0,242540;23,220860;99,999845%;0,193171;0,192487;29,259189;0,192451;99,981297%
FLASH;46137344;int;4;8;chrono::high_resolution_clock;23,234513;23,220896;0,242540;23,220860;99,999845%;0,203979;0,192487;29,259189;0,192451;99,981297%
FLASH;46137344;int;4;9;chrono::high_resolution_clock;23,102760;23,220896;0,242540;23,220860;99,999845%;0,195043;0,192487;29,259189;0,192451;99,981297%
FLASH;46137344;int;4;10;chrono::high_resolution_clock;23,216538;23,220896;0,242540;23,220860;99,999845%;0,194415;0,192487;29,259189;0,192451;99,981297%
FLASH;50331648;int;4;1;chrono::high_resolution_clock;27,032390;24,718671;0,248557;24,718635;99,999854%;0,219070;0,208908;29,410116;0,208872;99,982768%
FLASH;50331648;int;4;2;chrono::high_resolution_clock;24,285813;24,718671;0,248557;24,718635;99,999854%;0,205561;0,208908;29,410116;0,208872;99,982768%
FLASH;50331648;int;4;3;chrono::high_resolution_clock;24,502771;24,718671;0,248557;24,718635;99,999854%;0,208121;0,208908;29,410116;0,208872;99,982768%
FLASH;50331648;int;4;4;chrono::high_resolution_clock;24,416716;24,718671;0,248557;24,718635;99,999854%;0,207071;0,208908;29,410116;0,208872;99,982768%
FLASH;50331648;int;4;5;chrono::high_resolution_clock;24,481565;24,718671;0,248557;24,718635;99,999854%;0,205911;0,208908;29,410116;0,208872;99,982768%
FLASH;50331648;int;4;6;chrono::high_resolution_clock;24,336582;24,718671;0,248557;24,718635;99,999854%;0,200562;0,208908;29,410116;0,208872;99,982768%
FLASH;50331648;int;4;7;chrono::high_resolution_clock;24,277243;24,718671;0,248557;24,718635;99,999854%;0,208496;0,208908;29,410116;0,208872;99,982768%
FLASH;50331648;int;4;8;chrono::high_resolution_clock;24,389173;24,718671;0,248557;24,718635;99,999854%;0,204206;0,208908;29,410116;0,208872;99,982768%
FLASH;50331648;int;4;9;chrono::high_resolution_clock;24,886720;24,718671;0,248557;24,718635;99,999854%;0,217372;0,208908;29,410116;0,208872;99,982768%
FLASH;50331648;int;4;10;chrono::high_resolution_clock;24,577735;24,718671;0,248557;24,718635;99,999854%;0,212707;0,208908;29,410116;0,208872;99,982768%
FLASH;54525952;int;4;1;chrono::high_resolution_clock;26,317576;26,528093;0,250904;26,528057;99,999864%;0,240858;0,228350;29,148295;0,228314;99,984235%
FLASH;54525952;int;4;2;chrono::high_resolution_clock;25,806840;26,528093;0,250904;26,528057;99,999864%;0,229340;0,228350;29,148295;0,228314;99,984235%
FLASH;54525952;int;4;3;chrono::high_resolution_clock;27,011003;26,528093;0,250904;26,528057;99,999864%;0,246125;0,228350;29,148295;0,228314;99,984235%
FLASH;54525952;int;4;4;chrono::high_resolution_clock;26,287980;26,528093;0,250904;26,528057;99,999864%;0,226218;0,228350;29,148295;0,228314;99,984235%
FLASH;54525952;int;4;5;chrono::high_resolution_clock;26,157602;26,528093;0,250904;26,528057;99,999864%;0,219226;0,228350;29,148295;0,228314;99,984235%
FLASH;54525952;int;4;6;chrono::high_resolution_clock;27,682057;26,528093;0,250904;26,528057;99,999864%;0,217288;0,228350;29,148295;0,228314;99,984235%
FLASH;54525952;int;4;7;chrono::high_resolution_clock;26,302322;26,528093;0,250904;26,528057;99,999864%;0,214805;0,228350;29,148295;0,228314;99,984235%
FLASH;54525952;int;4;8;chrono::high_resolution_clock;26,076585;26,528093;0,250904;26,528057;99,999864%;0,234369;0,228350;29,148295;0,228314;99,984235%
FLASH;54525952;int;4;9;chrono::high_resolution_clock;27,464736;26,528093;0,250904;26,528057;99,999864%;0,216733;0,228350;29,148295;0,228314;99,984235%
FLASH;54525952;int;4;10;chrono::high_resolution_clock;26,174228;26,528093;0,250904;26,528057;99,999864%;0,238533;0,228350;29,148295;0,228314;99,984235%
FLASH;58720256;int;4;1;chrono::high_resolution_clock;28,063525;28,616256;0,250487;28,616220;99,999874%;0,236444;0,240735;29,775491;0,240699;99,985046%
FLASH;58720256;int;4;2;chrono::high_resolution_clock;28,085179;28,616256;0,250487;28,616220;99,999874%;0,241934;0,240735;29,775491;0,240699;99,985046%
FLASH;58720256;int;4;3;chrono::high_resolution_clock;28,408076;28,616256;0,250487;28,616220;99,999874%;0,237914;0,240735;29,775491;0,240699;99,985046%
FLASH;58720256;int;4;4;chrono::high_resolution_clock;28,185068;28,616256;0,250487;28,616220;99,999874%;0,245243;0,240735;29,775491;0,240699;99,985046%
FLASH;58720256;int;4;5;chrono::high_resolution_clock;27,935286;28,616256;0,250487;28,616220;99,999874%;0,237197;0,240735;29,775491;0,240699;99,985046%
FLASH;58720256;int;4;6;chrono::high_resolution_clock;29,600128;28,616256;0,250487;28,616220;99,999874%;0,235865;0,240735;29,775491;0,240699;99,985046%
FLASH;58720256;int;4;7;chrono::high_resolution_clock;28,083772;28,616256;0,250487;28,616220;99,999874%;0,240242;0,240735;29,775491;0,240699;99,985046%
FLASH;58720256;int;4;8;chrono::high_resolution_clock;29,877687;28,616256;0,250487;28,616220;99,999874%;0,249960;0,240735;29,775491;0,240699;99,985046%
FLASH;58720256;int;4;9;chrono::high_resolution_clock;28,257328;28,616256;0,250487;28,616220;99,999874%;0,242992;0,240735;29,775491;0,240699;99,985046%
FLASH;58720256;int;4;10;chrono::high_resolution_clock;29,666513;28,616256;0,250487;28,616220;99,999874%;0,239558;0,240735;29,775491;0,240699;99,985046%
FLASH;62914560;int;4;1;chrono::high_resolution_clock;30,424460;30,443124;0,252274;30,443088;99,999882%;0,272776;0,259322;29,615730;0,259286;99,986118%
FLASH;62914560;int;4;2;chrono::high_resolution_clock;30,224773;30,443124;0,252274;30,443088;99,999882%;0,285418;0,259322;29,615730;0,259286;99,986118%
FLASH;62914560;int;4;3;chrono::high_resolution_clock;30,370961;30,443124;0,252274;30,443088;99,999882%;0,244934;0,259322;29,615730;0,259286;99,986118%
FLASH;62914560;int;4;4;chrono::high_resolution_clock;30,152508;30,443124;0,252274;30,443088;99,999882%;0,256425;0,259322;29,615730;0,259286;99,986118%
FLASH;62914560;int;4;5;chrono::high_resolution_clock;31,803289;30,443124;0,252274;30,443088;99,999882%;0,258839;0,259322;29,615730;0,259286;99,986118%
FLASH;62914560;int;4;6;chrono::high_resolution_clock;30,158219;30,443124;0,252274;30,443088;99,999882%;0,253688;0,259322;29,615730;0,259286;99,986118%
FLASH;62914560;int;4;7;chrono::high_resolution_clock;30,303144;30,443124;0,252274;30,443088;99,999882%;0,251920;0,259322;29,615730;0,259286;99,986118%
FLASH;62914560;int;4;8;chrono::high_resolution_clock;30,169738;30,443124;0,252274;30,443088;99,999882%;0,253930;0,259322;29,615730;0,259286;99,986118%
FLASH;62914560;int;4;9;chrono::high_resolution_clock;30,582226;30,443124;0,252274;30,443088;99,999882%;0,261866;0,259322;29,615730;0,259286;99,986118%
FLASH;62914560;int;4;10;chrono::high_resolution_clock;30,241926;30,443124;0,252274;30,443088;99,999882%;0,253421;0,259322;29,615730;0,259286;99,986118%
FLASH;67108864;int;4;1;chrono::high_resolution_clock;32,191372;32,342900;0,253286;32,342864;99,999889%;0,278892;0,273759;29,924167;0,273723;99,986850%
FLASH;67108864;int;4;2;chrono::high_resolution_clock;32,055957;32,342900;0,253286;32,342864;99,999889%;0,276671;0,273759;29,924167;0,273723;99,986850%
FLASH;67108864;int;4;3;chrono::high_resolution_clock;33,599806;32,342900;0,253286;32,342864;99,999889%;0,263926;0,273759;29,924167;0,273723;99,986850%
FLASH;67108864;int;4;4;chrono::high_resolution_clock;31,988081;32,342900;0,253286;32,342864;99,999889%;0,267945;0,273759;29,924167;0,273723;99,986850%
FLASH;67108864;int;4;5;chrono::high_resolution_clock;32,210534;32,342900;0,253286;32,342864;99,999889%;0,279438;0,273759;29,924167;0,273723;99,986850%
FLASH;67108864;int;4;6;chrono::high_resolution_clock;31,869268;32,342900;0,253286;32,342864;99,999889%;0,270289;0,273759;29,924167;0,273723;99,986850%
FLASH;67108864;int;4;7;chrono::high_resolution_clock;32,026522;32,342900;0,253286;32,342864;99,999889%;0,269776;0,273759;29,924167;0,273723;99,986850%
FLASH;67108864;int;4;8;chrono::high_resolution_clock;32,119466;32,342900;0,253286;32,342864;99,999889%;0,270827;0,273759;29,924167;0,273723;99,986850%
FLASH;67108864;int;4;9;chrono::high_resolution_clock;32,053336;32,342900;0,253286;32,342864;99,999889%;0,276690;0,273759;29,924167;0,273723;99,986850%
FLASH;67108864;int;4;10;chrono::high_resolution_clock;33,314653;32,342900;0,253286;32,342864;99,999889%;0,283133;0,273759;29,924167;0,273723;99,986850%
FLASH;71303168;int;4;1;chrono::high_resolution_clock;34,142442;34,460193;0,252581;34,460157;99,999896%;0,298507;0,291737;29,835133;0,291701;99,987660%
FLASH;71303168;int;4;2;chrono::high_resolution_clock;34,180194;34,460193;0,252581;34,460157;99,999896%;0,288429;0,291737;29,835133;0,291701;99,987660%
FLASH;71303168;int;4;3;chrono::high_resolution_clock;34,240909;34,460193;0,252581;34,460157;99,999896%;0,287429;0,291737;29,835133;0,291701;99,987660%
FLASH;71303168;int;4;4;chrono::high_resolution_clock;34,020947;34,460193;0,252581;34,460157;99,999896%;0,291667;0,291737;29,835133;0,291701;99,987660%
FLASH;71303168;int;4;5;chrono::high_resolution_clock;35,913632;34,460193;0,252581;34,460157;99,999896%;0,289050;0,291737;29,835133;0,291701;99,987660%
FLASH;71303168;int;4;6;chrono::high_resolution_clock;34,305973;34,460193;0,252581;34,460157;99,999896%;0,283926;0,291737;29,835133;0,291701;99,987660%
FLASH;71303168;int;4;7;chrono::high_resolution_clock;34,145645;34,460193;0,252581;34,460157;99,999896%;0,285056;0,291737;29,835133;0,291701;99,987660%
FLASH;71303168;int;4;8;chrono::high_resolution_clock;34,023394;34,460193;0,252581;34,460157;99,999896%;0,292533;0,291737;29,835133;0,291701;99,987660%
FLASH;71303168;int;4;9;chrono::high_resolution_clock;34,219631;34,460193;0,252581;34,460157;99,999896%;0,295627;0,291737;29,835133;0,291701;99,987660%
